"formula","EMSL_class","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C38H50O13","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2381,-0.6316,1.32,0.34,1,14,0.0263
"C36H54O12","[M+Cl]-","aliphatic","aliphatic",0.1333,-0.8333,1.5,0.33,-2,10,-0.0556
"C35H54O15","[M-H]-","aliphatic","aliphatic",0.0545,-0.6857,1.54,0.43,-6,9,-0.1714
"C39H54O12","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2121,-0.7692,1.38,0.31,1,13,0.0256
"C37H58O11","[M+Cl]-","aliphatic","aliphatic",0.1111,-0.973,1.57,0.3,-2,9,-0.0541
"C36H58O14","[M-H]-","aliphatic","aliphatic",0.0345,-0.8333,1.61,0.39,-6,8,-0.1667
"C37H62O11S1","[M-H]-","aliphatic","aliphatic",0.0164,-1.027,1.68,0.3,-5,7,-0.1351
"C37H62O13","[M-H]-","aliphatic","aliphatic",0.0164,-0.973,1.68,0.35,-6,7,-0.1622
"C42H62O7","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.2208,-1.1429,1.48,0.17,5,12,0.119
"C38H66O12","[M-H]-","aliphatic","aliphatic",0,-1.1053,1.74,0.32,-6,6,-0.1579
"C44H70O3S1","[M+Cl]-","aliphatic","aliphatic",0.1807,-1.4091,1.59,0.07,6,10,0.1364
"C39H70O11","[M-H]-","aliphatic","aliphatic",-0.0149,-1.2308,1.79,0.28,-6,5,-0.1538
"C28H40O17S1","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",-0.027,-0.1429,1.43,0.61,-9,9,-0.3214
"C21H44O22S1","[M+Cl]-","aliphatic","carbohydrate",-1.3333,0.0952,2.1,1.05,-23,0,-1.0952
"C36H44O15","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2632,-0.3889,1.22,0.42,0,15,0
"C37H48O14","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2333,-0.5405,1.3,0.38,0,14,0
"C35H52O13","[M+Cl]-","unsaturated/lignin","unsaturated/lignin",0.1228,-0.7429,1.49,0.37,-3,10,-0.0857
"C34H52O16","[M-H]-","aliphatic","aliphatic",0.0385,-0.5882,1.53,0.47,-7,9,-0.2059
"C38H52O13","[M-H]-","unsaturated/lignin","unsaturated/lignin",0.2063,-0.6842,1.37,0.34,0,13,0
