Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates
963.8241001,0,0,0,0,0,0,0,0,,,964.8313766,0,-1
963.8390439,0,0,0,0,0,0,0,0,,,964.8463204,0,-1
963.8602557,0,0,0,0,0,0,0,0,,,964.8675322,0,-1
963.8794891,59,117,7,1,1,0,0,0,CHON,[M-H]-,964.8867656,-0.42041909,-1
963.8966299,0,0,0,0,0,0,0,0,,,964.9039064,0,-1
963.9162009,0,0,0,0,0,0,0,0,,,964.9234773,0,-1
964.6604382,0,0,0,0,0,0,0,0,,,965.6677147,0,-1
964.755976,0,0,0,0,0,0,0,0,,,965.7632525,0,-1
964.7655943,0,0,0,0,0,0,0,0,,,965.7728708,0,-1
964.8059143,61,108,7,0,1,0,0,0,CHO,[M-H]-,965.8131908,-0.341815426,-1
964.842099,0,0,0,0,0,0,0,0,,,965.8493755,0,-1
964.8555842,0,0,0,0,0,0,0,0,,,965.8628607,0,-1
964.8907043,0,0,0,0,0,0,0,0,,,965.8979808,0,-1
964.8917045,60,119,7,1,0,0,0,0,CHON,[M-H]-,965.898981,-0.33732928,-1
964.897712,0,0,0,0,0,0,0,0,,,965.9049885,0,-1
965.1962551,0,0,0,0,0,0,0,0,,,966.2035316,0,-1
965.4695797,0,0,0,0,0,0,0,0,,,966.4768561,0,-1
965.6727483,0,0,0,0,0,0,0,0,,,966.6800248,0,-1
965.6941362,0,0,0,0,0,0,0,0,,,966.7014127,0,-1
965.7091002,0,0,0,0,0,0,0,0,,,966.7163767,0,-1
965.7302217,0,0,0,0,0,0,0,0,,,966.7374982,0,-1
965.7452499,60,102,9,0,0,0,0,0,CHO,[M-H]-,966.7525264,-0.146365599,-1
965.7663482,57,106,11,0,0,0,0,0,CHO,[M-H]-,966.7736247,-0.114226172,-1
965.7817787,61,106,8,0,0,0,0,0,CHO,[M-H]-,966.7890552,-0.294583576,-1
965.8027922,58,110,10,0,0,0,0,0,CHO,[M-H]-,966.8100687,-0.17473101,-1
965.8180608,62,110,7,0,0,0,0,0,CHO,[M-H]-,966.8253373,-0.187625405,-1
965.839307,59,114,9,0,0,0,0,0,CHO,[M-H]-,966.8465835,-0.308459037,-1
965.8543876,63,114,6,0,0,0,0,0,CHO,[M-H]-,966.8616641,-0.126907324,-1
